But	Maar
publishers	Koninkryksverkondigers
some	paar
unemployed	werklose
men	manne
early	vroeg
morning	oggend
at	om
	
A	&apos;n
family	Gesin
had	al
some	&apos
time	ruk
had	lank
experienced	het
explain	verduidelik
expressing	om
tears	huil
fact	werklikheid
dying	sterwende
act	tree
your	jy
eternal	ewige
Then	Toe
was	die
privileged	voorreg
counsel	raad
himself	self
finally	uiteindelik
rewarded	beloon
many	talle
blessings	seëninge
globalization	globalisasie
are	word
further	verder
compounded	vererger
fact	feit
banks	banke
funds	geld
wealthy	ryk
countries	lande
have	baie
lent	geleen
to	het
markets	markte
some	sommige
economies	ekonomieë
developing	ontwikkelende
Single	Ongetroude
Christians	Christene
fit	inpas
reading	Bybellees
schedule	rooster
easily	makliker
married	getroudes
Years	jare
earlier	vantevore
he	Hy
you	mens
able	kan
true	ware
by	aan
its	sy
fruitage	vrugte
behind	vir
lie	leuen
soul	siel
immortal	onsterflik
harm	leed aandoen
living	lewendes
allow	toelaat
sense	gevoel
urgency	dringendheid
may	moontlik
be	nie
attacks	aanvalle
our	te
way	nie
caught	betrap
arrives	kom
What	Watter
display	vertoning
physical	fisiese
self	selfbeheersing
19th	19de
century	eeu
conclusions	gevolgtrekkings
drew	het
read	gelees
last	laaste
should	moet
preach	verkondig
no	geen nie
part	deel
its	die
politics	politiek
	
sound	betroubare
moral	sedelike
guidance	leiding
They	Hulle
will	&#93
do	sal
nor	en
speak	spreek
found	gevind
mouths	mond
a	geen
tongue	tong
feed	wei
Zephaniah	Sefanja
Nevertheless	Nietemin
of	in
mathematics	wiskunde
at	aan
University	Universiteit
England	Engeland
observed	gesê
that	dat dit
prophets	profete
have	was
universe	heelal
mythical	mitiese
gods	gode
simple	eenvoudige
believed	geglo
place	plek
Following	Ná
called	sogenaamde
conversion	bekering
Constantine	Konstantyn
fourth	vierde
pagans	heidene
flocked	gestroom
form	vorm
Christianity	Christelike godsdiens
then	toe
received	is
answer	verhoor
to	toe
prayers	gebede
Awake	Ontwaak
Now	Nou
marks	punte
dwellings	huise
buried	begrawe
cellar	kelder
berries	bessies
bushes	bosse
growing	groei
sunny	sonnige
there	
	en
chimney	skoorsteen
black	swart
perhaps	miskien
waves	golwe
stone	klip
convinced	oortuig
princes	vorste
this	dit
merely	bloot
a	vir
on	het
to	kon
half	helfte
cutting	sny
garments	klere
sent	het
attributed	toegeskryf
wrong	verkeerde
motives	beweegredes
did	wou
any	&apos
more	n
meetings	vergadering
These	Hierdie
accounts	verslae
occurred	gebeur
past	verlede
fascinating	fassinerend
indeed	werklik
Then	Dan
be	jy
decide	besluit
which	watter
most	die
important	belangrikste
you	jou
needed	moes
to	leer
make	om
it	daaraan
those	hierdie
with	van
pure	suiwer
language	taal
truth	waarheid
people	mense
around	regoor
today	vandag
cried	gehuil
after	toe
reading	ek
story	verhaal
because	omdat
I	my
so	baie
proud	trots
have	hê
spiritual	geestelike
brother	broer
So	dus
evidently	blykbaar
hearers	hoorders
fulfillment	vervulling
this	hiervan
future	toekoms
found	het
on	oor
defense	selfverdediging
particularly	veral
useful	nuttig
And	En
all	hele
congregation	gemeente
neither	nie
sword	swaard
spear	spies
save	red
belongs	behoort
battle	stryd
Would	Sal
that	dit
wonderful	wonderlik
still	nog
remember	onthou
works	dade
believers	medegelowiges
performed	verrig
—	— —
perhaps	dalk
for	lank
decades	dekades
How	Hoe
could	kon
mankind	mensdom
ever	ooit
again	weer
hope	hoop
of	om
everlasting	ewige
forfeited	verbeur
by	het
At	Aan
first	begin
with	vir
dress	kleredrag
How	Hoeveel
sinful	sondige
humans	mense
whose	wie
foundation	grondslag
dust	stof
	
One	wat
them	word
than	soos
moth	mot
However	Maar
notes	sê
cent	persent
cases	gevalle
sectors	sektore
community	gemeenskap
including	inbegrip
friends	vriende
colleagues	kollegas
offender	oortreder
families	gesin
victims	slagoffers
denied	ontken
abuse	molestering
we	Ons
loyal	lojaal
or	óf
known	bekend
ability	vermoë
build	om
structures	geboue
quickly	vinnig
example	byvoorbeeld
	&apos
Kingdom	die
Hall	Koninkryksaal
is	dit
built	gebou
share	aandeel
fully	volle
cleaning	skoonmaak
Men	Mans
women	vrouens
out	uit
huts	hutte
fields	landerye
greet	groet
Nevertheless	nietemin
the	Die
took	het
initiative	inisiatief
share	vertel
based	Bybelse
beliefs	oortuiging
When	toe
told	vir gesê
Jesus	het
kind	goed
what	Wat
reaction	reaksie
&#91	tot
above	bo
km	kilometer
length	lank
in	wees
Why	Waarom
you	ons
consideration	ondersoek
have	nou
purpose	doel
before	voorheen
worshipping	aanbid
helping	help
others	ander
to	te om
learn	leer
covered	gedek
all	alles
me	het
comforted	vertroos
Thus	dus
apostle	apostel
imitators	navolgers
beloved	geliefde
	
walking	wandel
Ephesians	Efesiërs
Notice	Let
to	ons
done	gedoen
then	dan
repay	terugbetaal
Korean	Koreaanse
War	Oorlog
began	begin
ordered	beveel
join	by sluit
army	weermag
time	keer
closer	naderby
look	bekyk
ingenious	vindingryke
design	ontwerp
When	Wanneer
feel	voel
discouraged	mismoedig
idea	gedagte
any	enige
kind	soort
Another	Nog
scientist	wetenskaplike
fly	vlieg
far	nie
5	vyf
&#93	ver
landing	land
feet	voete
	dat
All	hele
creation	skepping
keeps	voortdurend
together	saam
in	saam
pain	pyn
must	moes
quite	nogal
an	&apos
experience	ondervinding
travel	reis
organize	reël
suitable	geskikte
unfamiliar	onbekende
locations	plekke
courage	moed
obey	aan gehoorsaam
under	onder
all	alle
circumstances	omstandighede
oppose	teë staan
Devil	Duiwel
of	vir
from	daarvan
like	graag
to	wou
advice	raad
had	het
profound	diep
Martha	Marta
students	Bybelstudente
baptized	gedoop
early	vroeë
Just	Net
divine	God
gifts	gawes
is	in
available	beskikbaar
matter	ongeag
culture	kultuur
live	woon
another	mekaar
oblivious	onbewus
predators	roofdiere
demonstrate	bewys
brotherly	broederliefde
words	woorde
beat	van
swords	swaarde
spears	spiese
pruning	snoeimesse
Even	Selfs
intolerance	onverdraagsaamheid
is	&apos
factor	faktor
in	by
conflicts	konflikte
Bosnia	Bosnië
Middle	Midde
East	Ooste
lifeblood	lewensbloed
German	Duitse
writer	skrywer
put	gestel
it	dit het
Europe	Europa
churches	kerke
are	besig
As	Soos
prophesied	voorspel
sitting	wat
darkness	duisternis
saw	gesien
light	lig
	. 
2	1
left	uitgesluit
yourself	jy
strengths	sterk punte
above	hierbo
Certainly	sekerlik
expect	verwag
congregation	Christengemeente
to	moet
thousands	duisende
of	wat
songs	liedjies
released	vrygestel
each	elke
provide	vir
list	lys
approved	goedgekeurde
banned	verbode
today	hedendaagse
should	behoort
surprising	verbasend
are	mense
unable	nie
to	kan
gratification	bevrediging
They	Dit
save	spaar
waste	mors
A	&apos
digital	digitale
assistant	assistent
or	oftewel
for	kan
calendar	kalender
addresses	adresse
do	moet
camera	kamera
access	toegang
mail	pos
cannot	kan
details	besonderhede
conclude	gevolgtrekking
flight	vlug
spoke	gepraat
geographic	geografiese
sense	sin
among	Onder
translations	vertalings
languages	tale
variety	soort
English	Engels
spoken	wat
parts	dele
Papua	Papoea -
New	-
Guinea	Nieu Guinee
island	eiland
islands	eilande
of	word
Pacific	Suidsee
non	nie
Southeast	Suidoos
Asia	Asië
Bangladesh	Bangladesj
	Die
century	eeuse
scholar	Bybelgeleerde
insisted	volgehou
Mark	Markus
Gospel	Evangelie
been	gewees
written	geskryf
happy	bly
were	tog
receive	ontvang
legal	wetlike
recognition	erkenning
Russia	Rusland
Ministry	Departement
Justice	Justisie
Administrative	Administratiewe
Center	Sentrum
for	van
Especially	veral
real	werklik
	gekry
making	en
easier	makliker
cope	verwerk
asked	het gevra
provinces	provinsies
	lyk
sometimes	soms
seems	asof
hundred	honderd
years	jaar
ago	gelede
night	nag
influenced	beïnvloed
Eve	Eva
sin	sondig
became	was
difficult	moeilik
how	hoe
purpose	voorneme
glory	heerlikheid
when	dat
to	die
meetings	vergaderinge
conventions	byeenkomste
did	gedoen
That	Daardie
became	het
wide	wyd
which	waarin
Christian	Christelike
Scriptures	Geskrifte
no	nie
longer	meer
understood	verstaan
had	gehad
formal	formele
education	opvoeding
Some	Sommige
professional	professionele
scribes	skrifgeleerdes
teachers	onderrigters
while	terwyl
laymen	leke
main	vernaamste
nations	nasies
directly	direk
involved	by
trade	handel
Britain	Brittanje
Denmark	Denemarke
France	Frankryk
Netherlands	Nederland
Spain	Spanje
directions	riglyne
do	kan
making	om
decisions	besluite neem
what	watter
challenge	uitdaging
addition	Benewens
such	hierdie
disturbing	ontstellende
possible	moontlik
carrying	&apos
letter	brief
containing	met
issues	geskille
urged	het
Thessalonica	Tessalonika
speak	praat
consolingly	vertroostend
to	te met
depressed	terneergedrukte
souls	siele
Note	Let
did	het
heal	genees
person	man
genuine	opregte
compassion	medelye
procedures	prosedures
enable	stel staat
doctors	dokters
identify	identifiseer
only	slegs
corrected	reggestel
developed	&apos
based	gebaseer
lives	lewe
missing	nie
from	in
July	Julie
night	snags
preferably	verkieslik
treated	behandel
Why	Hoekom
encouragement	moedig
more	al
and	hoe
important	belangriker
ahead	voorlê
his	Sy
Louis	Lodewyk
persuaded	oorreed
Edict	Edik
law	wet
Protestants	Protestante
Huguenots	Hugenote
freedom	godsdiensvryheid
goal	doelwit
disease	siektes
and	uit
be	altyd
vary	wissel
country	land
state	staat
district	streek
According	Volgens
by	teen
decade	dekade
eventually	uiteindelik
cause	veroorsaak
hundreds	honderdduisende
skin	velkanker
True	weliswaar
is	word
identified	geïdentifiseer
spirit	gees
express	betoon
following	volgende
spring	lente
	was
	wyse
though	Maar
present	huidige
situation	toestand
not	niks
contamination	besoedeling
large	groot
complex	komplekse
agricultural	landbou
communities	gemeenskappe
support	ondersteun
cities	stede
inexpensive	goedkoop
meat	vleis
sandwiches	toebroodjies
beneficial	voordelig
planet	planeet
human	menslike
inhabitants	inwoners
knew	geweet
approval	goedkeuring
enemies	vyande
whole	hele
is	..
power	mag
wicked	bose
one	&#93
Those	Diegene
loyally	lojaal
confident	seker
of	wees
from	dat
us	nie
mid	middel
upwards	meer
of	as
reportedly	berig
blood	bloedbanke
United	Verenigde
States	State
selfish	selfsugtige
Almost	byna
immediately	onmiddellik
were	is
with	deur
sincere	opregte
calls	oproepe
support	ondersteuning
sympathy	simpatie
brothers	broers
sisters	susters
worked	het
well	goed
remained	lank
close	intieme
over	meer
Spaniards	Spanjaarde
surprised	verbaas
rice	rys
apples	appels
in	het
men	manskappe
asking	vra
protection	beskerm
from	teen
again	weer eens
principles	Bybelbeginsels
wrath	toorn
had	moes
flee	vlug
Tanzania	Tanzanië
adds	voeg by
Even	
though	maar
keep	bly
calm	kalm
under	in
good	goed
steam	stoom
resurrection	opstanding
undoubtedly	ongetwyfeld
brought	vir
joy	blydskap
mother	moeder
and	sowel
son	seun
nation	nasie
put	het
to	op
test	proef
in	op
concealed	verborge
any	&apos; n
pagan	heidense
philosopher	filosoof
treasures	skatte
wisdom	wysheid
saw	het
..	
at	by
window	venster
arrested	gearresteer
Whatever	Ongeag
for	waarom
getting	&apos
started	begin
in	hy
youth	jongmens
find	vind
increasingly	hoe
difficult	moeiliker
control	beheer
drinking	drinkery
	soek
that	deur
turn	hulle
away	weg
his	
&apos	
On	By
occasion	geleentheid
above	bowenal
hatred	haat
face	verduur
Public	Openbare
administration	administrasie
citizens	burgers
Few	min
young	jongmense
today	Vandag
however	egter
seem	asof
willing	bereid
obey	gehoorsaam
sex	seks
until	totdat
married	getroud
Chapter	Hoofstuk
discusses	bespreek
Scriptures	Skrif
topic	onderwerp
In	Met
view	oog
of	op
serious	ernstige
disunity	verdeeldheid
among	onder
professed	verklaarde
we	sal
do	dit
examine	ondersoek
taught	verkondig
is	Dit
pleased	behaag
individuals	mense
appreciation	waardering
memorial	gedenkdiens
was	toe
wedding	troue
Millions	Miljoene
similarly	so
racial	rassevooroordeel
forms	soorte
why	Waarom
do	hou
date	datum
differs	verskil
widely	algemeen
accepted	aanvaarde
chronology	chronologie
by	met
British	Britse
poet	digter
remind	herinner
cultural	kulturele
differences	verskille
divide	verdeel
which	en
contribute	bydra
racial	rasse
hatreds	haat
all	oral
around	om
irritate	irriteer
to	na te
best	beste
Rather	eerder
than	maar
birth	geboorte
would	het
respect	eerbiedig
command	opdrag
which	waarvoor
had	&apos
namely	naamlik
Corinthians	Korinthiërs
earthly	aardse
ministry	bediening
Messiah	Messias
Son	Seun
Parents	Ouers
wish	wil
protect	beskerm
converse	gesels
regularly	gereeld
really	werklik
warn	waarsku
of	teen
dangers	gevare
involved	wat
in	die
modern	moderne
single	ongetroude
happily	gelukkig
full	voltydse
be	daarvan
sure	seker
heavenly	hemelse
Father	Vader
honesty	eerlikheid
much	baie
two	twee
disciples	dissipels
road	pad
felt	was
sad	hartseer
events	gebeure
expected	verwag
place	plaasgevind
Shortly	Kort
afterward	daarna
uncle	oom
opened	oopgemaak
from	&apos
urged	aangespoor
become	&apos
minister	bedienaar
father	Vader
writes	skryf
has	het
to	laat
the	hoe
importance	belangrik
example	voorbeeld
&apos;d	sou
keep	&apos
eye	oog
so	sodat
sons	kinders
shepherds	herders
wilderness	woestyn
forty	veertig
determined	vasbeslote
personal	persoonlike
meetings	vergaderinge woon
emphasizing	beklemtoon
extent	omvang
summarized	opgesom
beliefs	opvattings
fit	pas
society	samelewing
just	&apos
slept	geslaap
day	heeldag
effects	gevolge
drugs	dwelms
off	het
admonition	vermaning
about	om
remembering	aan
Grand	Grootse
Creator	Skepper
youth	jeug
first	eers
young	jong
women	vroue
Our	Ons
home	huis
next	langs
store	winkel
so	daarom
Father	pa
Mother	ma
lonely	eensaam
demanded	geëis
repair	herstelwerk
work	gedoen
Communication	Kommunikasie
business	saketransaksies
major	groot
problems	probleem
is	tog
servant	kneg
for	wat
toward	om
the	hulle
goal	doel
becoming	om
useful	nuttige
members	lede
society	gemeenskap
In	As
to	daarby
benefit	baat vind
sacrifice	offerande
John	Johannes
Whether	Of
infected	besmet
such	die
deadly	dodelike
plagues	plae
immorality	onsedelikheid
materialism	materialisme
wild	wilde
beast	dier
image	beeld
Nations	Nasies
Now	nou
80	tagtigerjare
s	is
mentioned	wat genoem
outset	begin
preceding	vorige
explains	verduidelik
faithful	getrou
staying	om
alive	lewe
at	tot
any	elke
cost	prys
Not	nie
Mary	Maria
pregnant	swanger
holy	heilige
Joseph	Josef
thought	gedink
unfaithful	ontrou
thus	daarom
intended	plan
divorce	skei
protected	beskerm
while	en
does	toon
partial	partydig
The	die
site	webwerf
&apos;s	Die
getting	hoe
these	hulle
days	deesdae
and	al
sermons	preke
tend	geneig
Therefore	dus
avoid	nie
alcoholic	alkohol
attending	bywoon
sharing	aan
responsibilities	verantwoordelikhede
him	hy
the	dieselfde
by	as
advanced	gevorderd
required	verwag
seldom	selde
dangerous	gevaarlik
mainly	hoofsaaklik
relatively	betreklik
small	klein
flying	vlieënde
rocks	rotse
There	Daar
much	soveel
distrust	wantroue
all	ganse
history	mensegeskiedenis
Well	Wel
who	wie
Jehovah	God
settle	besleg
final	einde
that	
universal	universele
sovereignty	soewereiniteit
Brother	Broer
noted	gesê
every	elkeen
these	die
buildings	geboue
interesting	interessante
thing	ding
directed	gerig
visible	sigbare
organization	organisasie
to	om aan
particular	besondere
building	gebou
faith	Geloof
be	egter
demonstrated	getoon
actions	dade
works	werke
dead	dood
although	al
living	lewe
age	eeu
still	steeds
emotional	emosionele
ties	bande
to	met
helping	om help
clearly	duidelik
doing	doen
it	nie
Their	Hulle
described	beskryf
is	mens
boy	seun
dog	hond
prepared	bereid
sacrifice	offer
each	mekaar
tried	probeer
leave	verlaat
without	nie
returned	teruggegaan
here	hier
given	vir
abilities	vermoëns
existence	bestaan
its	dit
this	Daarom
	moet
husbands	mans
wives	vrouens
loving	liefdevolle
way	wyse
that	waarop
figurative	figuurlike
wife	vrou
establish	vas stel
guilt	skuld
or	
interrogation	ondervraging
...	..
chose	besluit
translate	vertaal
instead	pleks
Corinthians	Korintiërs
chapter	hoofstuk
Although	Hoewel
the	dit
same	ook
true	geld
Christian	Christengemeente
required	vereis
elders	ouer manne
as	namate
the	sy
system	stelsel
close	nader
Through	Deur
life	lewenswyse
set	&apos
the	n
pattern	voorbeeld
future	toekomstige
ministers	bedienaars
learn	uitvind
about	wat
presumptuousness	vermetelheid
seen	beskou
nation	land
with	in
famine	hongersnood
Epaphras	Epafras
among	midde
Colossians	Kolossense
slave	slaaf
sends	stuur
greetings	groete
himself	hom
that	sodat
complete	volkomenheid
firm	vaste
conviction	oortuiging
line	geslagslyn
Promised	Beloofde
Seed	Saad
for	waardeur
blessing	geseën
have	
Frequently	dikwels
sole	enigste
profits	winste
support	onderhou
final	laaste
speaker	spreker
symposium	simposium
spoke	het
subject	onderwerp
Freedom	vryheid
Lovers	Liefhebbers
wise	verstandig
	as
though	egter
alert	hoede
efforts	pogings
blind	verblind
break	ondermyn
integrity	onkreukbaarheid
Did	Het
boldness	vrymoedigheid
maintain	hou
that	dat dat
took	oorgeneem
over	het
title	titel
Lord	Here
flesh	vlees
was	in
really	werklikheid
no	geensins
Scriptural	Skrif
sitting	sit
lonely	eensame
company	maatskappy
thoughts	gedagtes
got	het
extent	mate
straight	reguit
told	vertel
driver	bestuurder
For	Want
means	hoegenaamd
nor	of
any	ooit
you	nie
true	waar
almighty	almagtige
worshipers	aanbidders
dynamic	dinamiese
energy	energie
songs	lofliedere
found	bevind
couples	paartjies
what	dinge
funny	snaaks
are	vind
prone	geneig
like	hou
love	lief
	te
want	wil
marry	trou
whose	wie se
liquid	vloeistof
	, kan
shell	dop
as	en
well	ook
loves	lief
provide	voorsien
realistic	realistiese
view	beskouing
proper	regte
attitude	gesindheid
uncertainty	onsekerheid
change	verandering
the	ten
most	beste
of	benut
short	kort
her	haar haar
encouragement	bemoedig
for	omdat
firm	sterk
stand	standpunt
	sal
encourage	aanmoedig
pray	bid
same	terselfdertyd
rulers	heersers
act	optree
fine	goeie
Saul	Saulus
that	hierdie
regard	opsig
	deurdat
